year_idx,plot_id,plot_name,region_group,lai_total,cc_total,biomass_ag_t_ha,adult_density_ha,sapling_density_ha,sw_top_mean,sw_sub_mean,al_floor_mean,di_annual_mean,GDD_deciduous,GDD_evergreen,T_winter,trees_died,saplings_died,mortality_rate_pct,tree_age_max,tree_age_mean,sapling_age_max,sapling_age_mean,herb_biomass_kg,herb_lai_mean,saplings_established,trees_recruited,trees_stressed,saplings_stressed,f_env_tree_mean,f_env_sapling_mean
36,1,"SW2","LL",12.777,1.000,612.314,4866.667,22.222,0.000,215.560,0.007,0.093,1149.487,1207.627,-3.020,4,0,0.905,36,32.568,3,2.000,86.140,0.559,1,0,36,1,0.315,0.212
36,2,"SW3","LL",8.702,1.000,205.864,3088.889,2633.333,0.000,187.505,0.078,0.164,1132.313,1160.851,-2.724,0,3,0.000,36,29.683,16,3.616,68.977,0.448,46,4,15,47,0.274,0.233
37,0,"SW1","LL",12.409,1.000,919.998,6933.333,0.000,6.103,307.167,0.005,0.000,1009.596,1024.410,-3.427,10,0,1.577,37,34.056,0,0.000,88.983,0.577,0,0,59,0,0.310,0.000
37,1,"SW2","LL",11.991,1.000,669.419,4788.889,11.111,0.000,202.857,0.006,0.091,1130.175,1155.518,-3.820,7,1,1.598,37,33.638,2,2.000,86.140,0.559,0,0,39,1,0.314,0.009
37,2,"SW3","LL",8.466,1.000,205.426,3033.333,2611.111,0.000,144.360,0.065,0.310,1133.363,1169.581,-3.190,7,8,2.500,37,30.634,17,4.464,68.977,0.448,8,2,259,142,0.024,0.098
38,0,"SW1","LL",13.082,1.000,1009.474,6811.111,0.000,47.631,320.000,0.005,0.000,1075.067,1111.126,-2.627,11,0,1.763,38,35.086,0,0.000,88.983,0.577,0,0,45,0,0.361,0.000
38,1,"SW2","LL",11.504,1.000,665.930,4655.556,11.111,0.000,179.932,0.006,0.222,1167.956,1199.186,-3.287,12,0,2.784,38,34.773,3,3.000,86.140,0.559,0,0,416,1,0.003,0.000
38,2,"SW3","LL",7.738,1.000,187.928,2722.222,2177.778,0.000,154.213,0.067,0.221,1124.632,1150.218,-2.924,30,42,10.909,38,31.563,18,5.286,69.017,0.448,5,2,227,87,0.031,0.142
39,0,"SW1","LL",12.453,1.000,1099.827,6688.889,0.000,86.579,320.000,0.005,0.000,1044.565,1071.677,-3.760,11,0,1.794,39,36.103,0,0.000,88.983,0.577,0,0,45,0,0.334,0.000
39,1,"SW2","LL",13.408,1.000,731.610,4622.222,0.000,0.000,245.115,0.006,0.022,1152.991,1187.700,-3.387,3,1,0.716,39,35.817,0,0.000,86.140,0.559,0,0,17,0,0.407,0.000
